Wall time,Step,Value
1670995139.972539,122503,0.5315704345703125
1670995145.401198,122575,0.4750836491584778
1670995161.760066,122796,0.28147757053375244
1670995165.480465,122841,0.13288134336471558
1670995168.779436,122887,0.42021340131759644
1670995176.469333,122989,0.6978384256362915
1670995187.457263,123135,0.8635339736938477
1670995203.588009,123357,0.4709177613258362
1670995211.322072,123463,0.4010489583015442
1670995215.343398,123515,0.27776017785072327
1670995221.948733,123602,0.178688183426857
1670995233.274078,123748,0.20746910572052002
1670995236.197765,123789,0.40748780965805054
1670995238.826005,123825,0.22542740404605865
1670995239.811879,123841,0.4686501920223236
1670995243.055765,123879,0.42260682582855225
1670995244.571436,123896,0.22493278980255127
1670995271.777887,124271,0.43508949875831604
1670995273.007217,124291,0.47264736890792847
1670995314.97405,124834,0.5034155249595642
1670995320.471157,124908,0.18496066331863403
1670995329.534975,125024,0.43667829036712646
1670995330.91337,125039,0.6881214380264282
1670995331.458306,125048,0.23574292659759521
1670995360.566406,125414,0.18993103504180908
1670995487.193822,125572,0.79843670129776
1670995489.096728,125596,0.444383442401886
1670995510.487211,125897,0.11635656654834747
1670995513.478142,125931,0.3750445544719696
1670995517.688849,125985,0.10428863018751144
1670995544.108833,126354,0.39218688011169434
1670995550.198461,126440,0.6785176396369934
1670995550.941843,126452,0.19358153641223907
1670995555.620629,126512,0.8268030285835266
1670995559.331577,126558,0.15168045461177826
1670995566.834442,126659,0.5951011776924133
1670995584.786575,126895,0.5844483375549316
1670995604.47249,127163,0.3880086839199066
1670995624.165649,127421,0.4260029196739197
1670995627.392539,127467,0.37664517760276794
1670995630.920549,127518,0.08114215731620789
1670995631.681557,127531,0.5039474964141846
1670995636.448573,127593,0.16775721311569214
1670995638.416618,127626,0.6494754552841187
1670995643.839961,127693,0.17464853823184967
1670995650.218254,127785,0.14123764634132385
1670995666.116704,127998,0.14313215017318726
1670995677.326619,128163,0.7692722678184509
1670995680.284884,128197,0.17445318400859833
1670995688.061906,128312,0.162715345621109
1670995689.483273,128328,0.15797118842601776
1670995693.337763,128384,0.10943792760372162
1670995699.345841,128469,0.2609211504459381
1670995705.096462,128556,0.1909211426973343
1670995709.787083,128610,0.7242804765701294
1670995714.075542,128665,0.13643604516983032
1670995717.164004,128700,0.44726964831352234
1670995731.407256,128900,0.3937269449234009
1670995857.388285,129061,0.22055359184741974
1670995859.071945,129081,0.5312504768371582
1670995866.803926,129181,0.16698789596557617
1670995871.439696,129250,0.5730932354927063
1670995878.667202,129322,0.5567867159843445
1670995882.938941,129385,0.3454045355319977
1670995898.728635,129584,0.3606005609035492
1670995912.695452,129767,0.2536724805831909
1670995914.901417,129795,0.10063862800598145
1670995927.757894,129975,0.8731781840324402
1670995935.023014,130061,0.47634822130203247
1670995953.009404,130317,0.44681355357170105
1670995963.769958,130453,0.3274005353450775
