Wall time,Step,Value
1670982197.939859,245,1.7354564666748047
1670982218.143937,466,1.4821696281433105
1670982234.388899,659,0.9826895594596863
1670982245.420798,805,1.228177547454834
1670982271.84187,1133,1.0800172090530396
1670982336.66722,1941,1.3875970840454102
1670982338.913136,1961,1.307650089263916
1670982382.282292,2504,1.0905427932739258
1670982396.79037,2694,1.1044586896896362
1670982398.788211,2718,1.5299311876296997
1670982554.995173,3266,0.8553224802017212
1670982624.558557,4122,0.9147545099258423
1670982641.373002,4329,0.8851354122161865
1670982714.864983,5263,1.6484043598175049
1670982717.518011,5296,1.0653270483016968
1670982722.924025,5363,1.8544633388519287
1670982731.020776,5455,0.5954533815383911
1670982761.876937,5833,0.9991567730903625
1670982764.617504,5867,0.8067504167556763
1670982774.665487,5982,0.8074979782104492
1670982775.740669,5998,1.0652515888214111
1670982779.990313,6054,0.8481206893920898
1670982899.839202,6280,0.7906900644302368
1670982903.969133,6335,1.3063006401062012
1670982937.040269,6731,0.7955916523933411
1670982946.327527,6851,1.065063238143921
1670982957.537289,6992,0.80011385679245
1670982992.641898,7437,1.0052568912506104
1670982994.528438,7465,1.2969303131103516
1670983009.440253,7645,0.9810258150100708
1670983015.755511,7731,0.715229868888855
1670983062.521048,8292,0.8224058151245117
1670983083.501118,8549,1.0002186298370361
1670983083.907751,8555,0.7404991388320923
1670983095.684426,8695,1.0670368671417236
1670983100.932811,8753,0.8668767213821411
1670983133.272452,9153,0.7242184281349182
1670983141.623781,9253,1.3649396896362305
1670983145.282198,9292,0.9903035163879395
1670983148.220345,9328,1.17313551902771
1670983294.022581,9713,1.2602498531341553
1670983297.74366,9754,0.9223086833953857
1670983304.408431,9838,0.8087002038955688
1670983309.262225,9895,1.02255380153656
1670983310.834929,9918,1.4979755878448486
1670983313.956762,9950,0.7531025409698486
1670983316.424712,9980,1.5885534286499023
1670983322.629638,10064,1.666250467300415
1670983327.515537,10122,0.49495479464530945
1670983332.723531,10192,0.9176950454711914
1670983354.309813,10446,0.7659686803817749
1670983360.298459,10519,1.1382849216461182
1670983369.864145,10646,0.6592192649841309
1670983400.043475,11024,0.6180709600448608
1670983408.887356,11119,0.8262345790863037
1670983466.660726,11820,0.8845778107643127
1670983470.343721,11868,0.48229631781578064
1670983483.52778,12028,1.007771372795105
1670983486.875575,12077,0.601365327835083
1670983509.912449,12355,0.6185497045516968
1670983519.04012,12477,0.5609962940216064
1670983664.389295,12906,0.9534050226211548
1670983694.952254,13305,0.7063838243484497
1670983701.959924,13389,0.8555455207824707
1670983713.296064,13523,0.5670536160469055
1670983723.864219,13643,0.6603671312332153
1670983724.194625,13648,0.6782679557800293
1670983735.984761,13803,1.122213363647461
1670983739.530855,13850,0.7340062260627747
1670983749.595005,13972,0.44077348709106445
1670983804.001286,14646,1.1719717979431152
1670983820.866512,14852,0.7276681661605835
1670983838.796459,15066,0.6180291175842285
1670983862.612612,15372,0.8468412756919861
1670983882.06771,15611,0.6863012313842773
1670984044.243683,16242,0.512265145778656
1670984094.672172,16835,0.9516193866729736
1670984096.785997,16867,1.0781099796295166
1670984097.912411,16884,0.8378167152404785
1670984099.970922,16908,0.49424588680267334
1670984103.121173,16948,1.0254312753677368
1670984193.946693,18122,0.5348820090293884
1670984194.474918,18130,0.7439455389976501
1670984194.997787,18138,0.43921664357185364
1670984221.790646,18482,1.0550780296325684
1670984245.130312,18760,0.4706987142562866
1670984245.52782,18766,0.44165295362472534
1670984248.499569,18796,0.6332004070281982
1670984273.916452,19110,0.7428972721099854
1670984281.93734,19210,0.6065206527709961
1670984290.232546,19320,0.4749132990837097
1670984410.294328,19378,0.29654115438461304
1670984420.40944,19502,0.7581250667572021
1670984423.892088,19547,0.5238034725189209
1670984429.525722,19618,0.6021333932876587
1670984511.760508,20619,0.42126601934432983
1670984514.049063,20647,0.36136505007743835
1670984528.971426,20842,0.45996221899986267
1670984539.442211,20969,0.6472253799438477
1670984544.513359,21037,0.21521063148975372
1670984563.56848,21268,0.6559181809425354
1670984635.244758,22163,0.703896701335907
1670984677.948266,22703,0.7823702692985535
1670984824.533302,23107,0.3104742169380188
1670984858.587934,23501,0.4490373134613037
1670984936.111817,24470,0.6290847063064575
1670984955.994316,24719,0.7861037850379944
1670984959.635723,24759,0.5245555639266968
1670984966.047299,24829,0.23659172654151917
1670984974.198336,24939,0.7027876973152161
1670984979.100056,24992,0.5730102062225342
1670984988.95729,25113,0.6021394729614258
1670985015.05125,25445,0.444847047328949
1670985030.709637,25650,0.4469680190086365
1670985192.983213,26264,0.31520912051200867
1670985202.656881,26378,0.38142281770706177
1670985225.163861,26647,0.27107125520706177
1670985291.685382,27455,0.6382696628570557
1670985321.175855,27834,0.1996956467628479
1670985326.21999,27895,0.5585727095603943
1670985338.066317,28046,0.595522403717041
1670985342.45158,28103,0.23227933049201965
1670985400.892125,28795,0.24229951202869415
1670985555.458239,29311,0.46569961309432983
1670985569.283104,29491,0.5279206037521362
1670985580.051169,29621,0.7793828845024109
1670985581.6663,29637,0.8525656461715698
1670985584.955064,29678,0.9002707004547119
1670985597.762527,29832,0.8161683678627014
1670985615.985665,30056,0.45982420444488525
1670985617.658744,30081,0.582135796546936
1670985669.183167,30704,1.1569523811340332
1670985690.160071,30960,1.0660288333892822
1670985690.700822,30968,0.5229446291923523
1670985724.2924,31377,0.6476254463195801
1670985726.567562,31411,0.48872628808021545
1670985767.774628,31903,0.3149469494819641
1670985772.228857,31954,0.850452184677124
1670985774.272237,31977,0.28398528695106506
1670985777.346663,32015,0.40035873651504517
1670985961.319287,32812,0.34248262643814087
1670985962.199125,32825,0.35324662923812866
1670986000.16186,33280,0.4181022346019745
1670986034.772607,33702,0.27828794717788696
1670986043.098197,33804,0.6852759718894958
1670986047.697492,33865,0.27620747685432434
1670986139.171854,34952,0.4010680615901947
1670986140.739563,34968,0.5757566690444946
1670986155.757906,35141,0.24113817512989044
1670986162.341136,35218,0.2134591042995453
1670986183.67167,35478,1.0310232639312744
1670986189.242172,35552,0.32289230823516846
1670986314.970784,35705,0.5847585201263428
1670986333.163859,35914,0.657751202583313
1670986380.836383,36502,0.7959954738616943
1670986396.27332,36695,0.20996224880218506
1670986412.919305,36892,0.24343657493591309
1670986421.499152,36997,0.5976738929748535
1670986427.150463,37066,0.5055314302444458
1670986436.453333,37183,0.5582022666931152
1670986476.517769,37675,0.1341182291507721
1670986482.660618,37750,0.4881499409675598
1670986535.944412,38387,0.4437674582004547
1670986536.016198,38388,0.46502482891082764
1670986537.989896,38409,0.3048452138900757
1670986544.401664,38488,0.6186279058456421
1670986570.284313,38806,0.6184293031692505
1670986573.085217,38840,0.31382596492767334
1670986718.971802,39239,1.030024766921997
1670986749.538683,39589,0.6473498940467834
1670986760.94278,39713,0.4103606343269348
1670986795.220058,40111,0.5869085788726807
1670986805.353475,40237,0.31248244643211365
1670986806.741091,40250,0.6063656806945801
1670986813.983253,40333,0.17807430028915405
1670986821.249919,40417,0.5868951082229614
1670986831.290409,40541,0.6819456815719604
1670986853.870942,40802,0.8622885942459106
