Wall time,Step,Value
1670982197.939859,245,0.07989782840013504
1670982218.143937,466,0.13867351412773132
1670982234.388899,659,0.48673856258392334
1670982245.420798,805,1.0203349590301514
1670982271.84187,1133,1.3554292917251587
1670982336.66722,1941,1.4834643602371216
1670982338.913136,1961,1.9842629432678223
1670982382.282292,2504,1.5634682178497314
1670982396.79037,2694,1.4518009424209595
1670982398.788211,2718,0.9927794933319092
1670982554.995173,3266,1.153955101966858
1670982624.558557,4122,1.074147343635559
1670982641.373002,4329,1.4067621231079102
1670982714.864983,5263,1.171164870262146
1670982717.518011,5296,1.2844301462173462
1670982722.924025,5363,1.233418345451355
1670982731.020776,5455,1.2136132717132568
1670982761.876937,5833,0.9663999080657959
1670982764.617504,5867,1.254254698753357
1670982774.665487,5982,1.4208663702011108
1670982775.740669,5998,1.3940680027008057
1670982779.990313,6054,1.3531631231307983
1670982899.839202,6280,1.3524123430252075
1670982903.969133,6335,1.3247135877609253
1670982937.040269,6731,1.0118038654327393
1670982946.327527,6851,1.5086699724197388
1670982957.537289,6992,1.0124921798706055
1670982992.641898,7437,1.3967103958129883
1670982994.528438,7465,1.1951204538345337
1670983009.440253,7645,1.667039155960083
1670983015.755511,7731,1.7217919826507568
1670983062.521048,8292,1.0226552486419678
1670983083.501118,8549,1.3568625450134277
1670983083.907751,8555,1.8334861993789673
1670983095.684426,8695,1.743361234664917
1670983100.932811,8753,1.3142541646957397
1670983133.272452,9153,1.312747597694397
1670983141.623781,9253,1.0243475437164307
1670983145.282198,9292,2.014463424682617
1670983148.220345,9328,1.2991859912872314
1670983294.022581,9713,1.450593113899231
1670983297.74366,9754,1.5908308029174805
1670983304.408431,9838,1.3946274518966675
1670983309.262225,9895,1.1139214038848877
1670983310.834929,9918,1.5286905765533447
1670983313.956762,9950,1.3310350179672241
1670983316.424712,9980,1.6320371627807617
1670983322.629638,10064,2.093498706817627
1670983327.515537,10122,2.1352834701538086
1670983332.723531,10192,1.9219914674758911
1670983354.309813,10446,2.3969674110412598
1670983360.298459,10519,2.8613038063049316
1670983369.864145,10646,3.1532633304595947
1670983400.043475,11024,2.0805857181549072
1670983408.887356,11119,1.8085774183273315
1670983466.660726,11820,1.644319772720337
1670983470.343721,11868,3.139101266860962
1670983483.52778,12028,2.1659419536590576
1670983486.875575,12077,1.4704217910766602
1670983509.912449,12355,3.14632511138916
1670983519.04012,12477,2.124605417251587
1670983664.389295,12906,2.242702007293701
1670983694.952254,13305,2.432486057281494
1670983701.959924,13389,2.6773390769958496
1670983713.296064,13523,2.126636505126953
1670983723.864219,13643,2.020106315612793
1670983724.194625,13648,1.854227900505066
1670983735.984761,13803,2.653858184814453
1670983739.530855,13850,2.239058017730713
1670983749.595005,13972,2.499901056289673
1670983804.001286,14646,3.1079089641571045
1670983820.866512,14852,1.998691201210022
1670983838.796459,15066,2.5464203357696533
1670983862.612612,15372,1.9420143365859985
1670983882.06771,15611,2.4050979614257812
1670984044.243683,16242,1.9581183195114136
1670984094.672172,16835,2.3577795028686523
1670984096.785997,16867,2.327653646469116
1670984097.912411,16884,2.3603360652923584
1670984099.970922,16908,2.668281316757202
1670984103.121173,16948,2.168806314468384
1670984193.946693,18122,2.1948153972625732
1670984194.474918,18130,2.3983945846557617
1670984194.997787,18138,2.095806360244751
1670984221.790646,18482,2.4863946437835693
1670984245.130312,18760,3.0429704189300537
1670984245.52782,18766,2.379072427749634
