Wall time,Step,Value
1670982191.110066,173,0.06744945794343948
1670982197.939859,245,0.07989782840013504
1670982218.143937,466,0.13867351412773132
1670982222.619426,511,0.21735712885856628
1670982226.140946,557,0.2560748755931854
1670982234.388899,659,0.48673856258392334
1670982245.420798,805,1.0203349590301514
1670982263.884646,1027,1.3962980508804321
1670982271.84187,1133,1.3554292917251587
1670982275.730235,1185,1.0563899278640747
1670982282.488815,1272,1.18938148021698
1670982294.542858,1418,1.4174549579620361
1670982297.739308,1459,1.2786208391189575
1670982300.602432,1495,1.3674672842025757
1670982301.681929,1511,1.2493577003479004
1670982304.714878,1549,1.308521032333374
1670982305.851368,1566,1.2951092720031738
1670982336.66722,1941,1.4834643602371216
1670982338.913136,1961,1.9842629432678223
1670982382.282292,2504,1.5634682178497314
1670982388.092419,2578,1.0659834146499634
1670982396.79037,2694,1.4518009424209595
1670982398.187977,2709,1.6809947490692139
1670982398.788211,2718,0.9927794933319092
1670982540.983347,3084,1.050739049911499
1670982552.917985,3242,0.9418549537658691
1670982554.995173,3266,1.153955101966858
1670982579.878831,3567,1.2373217344284058
1670982582.58377,3601,1.8634024858474731
1670982587.100946,3655,1.237154483795166
1670982588.470391,3669,1.200968623161316
1670982608.10925,3916,1.4346859455108643
1670982617.110997,4024,1.3011113405227661
1670982623.27383,4110,1.1401337385177612
1670982624.558557,4122,1.074147343635559
1670982629.521865,4182,1.5971466302871704
1670982633.827951,4228,1.146520972251892
1670982641.373002,4329,1.4067621231079102
1670982659.936283,4565,1.1291550397872925
1670982680.755095,4833,1.1492640972137451
1670982701.139297,5091,1.1773549318313599
1670982705.164578,5137,1.3631384372711182
1670982708.964509,5188,1.2899301052093506
1670982709.838962,5201,1.1419843435287476
1670982714.864983,5263,1.171164870262146
1670982717.518011,5296,1.2844301462173462
1670982722.924025,5363,1.233418345451355
1670982731.020776,5455,1.2136132717132568
1670982748.548684,5668,1.0258235931396484
1670982761.876937,5833,0.9663999080657959
1670982764.617504,5867,1.254254698753357
1670982765.463682,5880,1.244507908821106
1670982774.665487,5982,1.4208663702011108
1670982775.740669,5998,1.3940680027008057
1670982779.990313,6054,1.3531631231307983
1670982787.346732,6139,1.3586913347244263
1670982895.327929,6226,1.096616506576538
1670982899.839202,6280,1.3524123430252075
1670982903.969133,6335,1.3247135877609253
1670982906.862214,6370,1.271286129951477
